Ip,Port,HTTPS/SSL,Speed,Type,CountryCity
47.109.51.138,80,HTTP,-,elite,CN ChinaHangzhou
43.255.113.232,8084,HTTP,98.8kbit,elite,KH CambodiaPhnom Penh
139.162.182.54,11127,HTTP,80.2kbit,elite,US United States-
198.49.68.80,80,HTTP,620kbit,elite,US United StatesOrlando
134.122.58.174,80,HTTP,9.1kbit,elite,US United StatesCampbell
194.233.84.239,80,HTTP,65.4kbit,elite,DE Germany-
114.116.2.116,8001,HTTP,-,elite,CN ChinaShenzhen
49.0.2.242,8090,HTTPS,67.8kbit,elite,ID IndonesiaPurwokerto
59.110.7.43,3129,HTTP,-,elite,CN ChinaHangzhou
139.162.182.54,8080,HTTP,68.3kbit,elite,US United States-
181.78.8.215,999,HTTP,39.0kbit,elite,AR ArgentinaBuenos Aires
47.100.137.173,666,HTTP,-,elite,CN ChinaHangzhou
83.229.72.174,80,HTTP,661kbit,elite,A2 Satellite Provider-
45.156.21.78,3128,HTTPS,289kbit,elite,HK Hong Kong-
198.59.191.234,8080,US,United States,elite,no,yes,1 sec ago
204.185.204.64,8080,US,United States,elite,no,yes,1 sec ago
151.181.91.10,80,US,United States,elite,yes,yes,1 sec ago
198.49.68.80,80,US,United States,elite,,no,2 secs ago
216.137.184.253,80,US,United States,elite,,no,13 secs ago
198.52.97.210,59394,US,United States,elite,no,no,21 mins ago
165.232.149.87,8888,US,United States,elite,,no,40 mins ago
45.56.75.90,5344,US,United States,elite,,yes,40 mins ago
208.87.130.154,80,US,United States,elite,,yes,40 mins ago
68.183.111.90,80,US,United States,elite,,no,41 mins ago
47.254.47.61,8080,US,United States,elite,no,yes,41 mins ago
45.79.111.38,9994,US,United States,elite,,yes,41 mins ago
13.91.104.216,80,US,United States,elite,,no,41 mins ago
54.175.197.235,80,US,United States,elite,,no,42 mins ago
