Ip,Port,Type
222.67.97.34,9000,https
8.135.48.42,8080,https
94.102.203.2,1500,https
203.150.128.254,8080,https
181.129.49.214,999,https
217.196.238.154,80,https
114.116.2.116,8001,https
47.89.185.178,8888,https
201.91.82.155,3128,https
103.152.232.122,3125,https
191.97.14.26,999,https
149.202.160.140,8083,https
217.196.238.154,80,,,56,https,Transparent,70,8% (34),OK,1 minutes
222.67.97.34,9000,https
8.135.48.42,8080,https
94.102.203.2,1500,https
203.150.128.254,8080,https
181.129.49.214,999,https
217.196.238.154,80,https
114.116.2.116,8001,https
47.89.185.178,8888,https
201.91.82.155,3128,https
103.152.232.122,3125,https
191.97.14.26,999,https
149.202.160.140,8083,https
